,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736781185000,0.0,,
1736781190000,0.0,,
1736781195000,0.0,,
1736781200000,0.0,,
1736781205000,0.0,,
1736781210000,0.0,,
1736781215000,0.0,,
1736781220000,54.4666666667,,
1736781225000,54.4666666667,,
1736781230000,181.2166666666,,
1736781235000,296.43333333329997,,
1736781240000,412.95,,
1736781245000,624.75,,
1736781250000,808.0166666665999,,
1736781255000,1001.8833333333,,
1736781260000,1302.9166666666,,
1736781265000,1762.0333333332999,,
1736781270000,2197.0,,
1736781275000,2662.85,,
1736781280000,3055.7,,
1736781285000,3115.8,,
1736781290000,3235.4333333333,,
1736781295000,3672.4166666700003,,
1736781300000,3816.63333333,,
1736781305000,3604.8333333299997,,
1736781310000,3447.9166666700003,,
1736781315000,3874.75,,
1736781320000,3950.85,,
1736781325000,4149.6,,
1736781330000,4279.85,,
1736781335000,4405.11666667,,
1736781340000,4974.66666667,,
1736781345000,5728.83333333,,
1736781350000,6046.96666667,,
1736781355000,5994.38333333,,
1736781360000,6537.48333333,,
1736781365000,6569.13333333,,
1736781370000,6542.78333333,,
1736781375000,5922.08333333,,
1736781380000,5544.95,,
1736781385000,4887.08333333,,
1736781390000,4321.86666667,,
1736781395000,3730.75,,
1736781400000,3024.2333333333004,,
1736781405000,2313.2833333333,,
1736781410000,,,
1736781435000,,0.0,
1736781440000,0.0,0.0,
1736781445000,0.0,0.0,
1736781450000,0.0,0.0,
1736781455000,0.0,0.0,
1736781460000,0.0,0.0,
1736781465000,0.0,0.0,
1736781470000,0.0,0.0,
1736781475000,0.0,0.0,
1736781480000,0.0,0.0,
1736781485000,0.0,0.0,
1736781490000,0.0,0.0,
1736781495000,1.033333333333,11.066666666666,
1736781500000,16.766666666666,42.25,
1736781505000,84.4833333333,152.2,
1736781510000,206.3333333333,312.25,
1736781515000,392.1,547.7,
1736781520000,611.1833333333,675.25,
1736781525000,629.4833333332999,716.4166666665999,
1736781530000,788.25,1016.3833333333,
1736781535000,1154.65,1379.5833333333,
1736781540000,1505.2666666666,1707.3166666666,
1736781545000,1785.0333333332999,2029.6666666666,
1736781550000,2204.15,2431.8666666666,
1736781555000,2690.1,2940.1833333333,
1736781560000,3161.1666666666,3140.4666666666,
1736781565000,3112.1666666666,3030.5166666666,
1736781570000,2990.3166666665998,2990.3833333333,
1736781575000,2804.55,2754.9333333333,
1736781580000,2585.4666666666,2627.3833333333,
1736781585000,2601.85,2647.4333333333,
1736781590000,2578.5666666665998,2402.4333333333,
1736781595000,2214.6,2187.7666666666,
1736781600000,2251.0166666666,2333.9,
1736781605000,2296.35,2150.7166666666,
1736781610000,2114.3,2222.05,
1736781615000,2151.75,2184.6,
1736781620000,2248.95,2613.45,
1736781625000,2830.45,3119.4833333333004,
1736781630000,3207.85,3067.8666666666,
1736781635000,3207.85,3067.8666666666,
1736781640000,3207.85,3316.0,
1736781645000,3399.23333333,3431.93333333,
1736781650000,3719.63333333,3944.8,
1736781655000,4207.21666667,4340.55,
1736781660000,4415.51666667,4121.36666667,
1736781665000,4197.41666667,4299.83333333,
1736781670000,4404.3,4420.2,
1736781675000,4342.13333333,4433.23333333,
1736781680000,4396.21666667,4351.71666667,
1736781685000,4215.16666667,4261.51666667,
1736781690000,4364.1,4353.65,
1736781695000,4364.1,4353.65,
1736781700000,4364.1,4105.51666667,
1736781705000,4138.03333333,3928.36666667,
1736781710000,3682.15,,
1736781715000,,,
1736781740000,0.0,0.0,
1736781745000,0.0,0.0,0.0
1736781750000,0.0,0.0,0.0
1736781755000,0.0,0.0,0.0
1736781760000,0.0,0.0,0.0
1736781765000,0.0,0.0,0.0
1736781770000,0.0,0.0,0.0
1736781775000,0.0,0.0,0.0
1736781780000,0.0,0.0,0.0
1736781785000,0.0,0.0,0.0
1736781790000,3.25,83.4,0.0
1736781795000,167.4166666666,313.3,0.0
1736781800000,469.1666666666,614.4,161.0333333333
1736781805000,751.35,939.8,490.8333333333
1736781810000,1077.85,1300.2666666666,726.1666666666
1736781815000,1301.0666666666,1300.2666666666,1072.6833333333
1736781820000,1562.0333333333,1585.4333333333,1300.7
1736781825000,1613.0166666666,1592.6666666666,1300.7
1736781830000,1823.6333333333,1849.6166666666,1300.7
1736781835000,1876.3666666666,1849.6166666666,1579.0
1736781840000,1876.3666666666,1908.8166666666,1846.5
1736781845000,2118.9166666666,2397.3,1846.5
1736781850000,2612.1833333333,2795.8666666666,1899.5166666666
1736781855000,2904.4833333333,2982.8166666666,2604.8833333333
1736781860000,2995.1833333333,2795.4166666666,2882.6333333333
1736781865000,2790.2666666666,2742.3833333333,2916.8666666666
1736781870000,2833.5833333333,2845.7,2762.8166666666
1736781875000,3114.6666666666,3295.6,2862.5333333333
1736781880000,3150.0833333333,3344.88333333,3097.5333333333
1736781885000,3500.68333333,3651.95,3382.1
1736781890000,3503.13333333,3395.0,3735.15
1736781895000,3450.4,3667.78333333,3649.35
1736781900000,3869.86666667,3760.75,3455.38333333
1736781905000,3627.31666667,3272.2666666666,3786.26666667
1736781910000,3130.8,2790.3,3733.25
1736781915000,2674.3333333333,2373.45,3027.8833333333
1736781920000,2556.15,2537.1666666666,2589.1
1736781925000,2514.3,2495.4,2529.4833333333
1736781930000,2532.9833333333,2561.2,2557.9666666666
1736781935000,2614.0833333333,2541.5,2431.5
1736781940000,2606.3333333333,2379.0666666666,2498.45
1736781945000,2309.0833333333,2221.5833333333,2548.7666666666
1736781950000,2341.85,2616.05,2249.3166666666
1736781955000,2838.8,2757.6,2327.7166666666
1736781960000,2763.65,2972.15,2695.7833333333
1736781965000,3268.5,3235.5333333333,2761.1
1736781970000,3284.95,3235.5333333333,3173.8833333333
1736781975000,3284.95,3235.5333333333,3236.1666666666
1736781980000,3010.6833333333,3095.7666666666,3236.1666666666
1736781985000,3196.05,,3030.6166666666
1736781990000,,,
